Chr10_Group_1	chr10:318076
Chr20_Group_56	chr20:7819768
Chr20_Group_57	chr20:7803220
Chr20_Group_58	chr20:7812350
Chr20_Group_59	chr20:8608490
Chr20_Group_60	chr20:8626271
Chr20_Group_62	chr20:9365303
Chr20_Group_10658882	chr20:10664035
Chr20_Group_67	chr20:10719779
Chr20_Group_19749957	chr20:19749957
Chr20_Group_73	chr20:14702915
Chr20_Group_75	chr20:14797572
Chr20_Group_78	chr20:16054982
Chr20_Group_190	chr20:43068996
Chr20_Group_81	chr20:17843968
Chr20_Group_83	chr20:18777980
Chr20_Group_18290979	chr20:18289572
Chr20_Group_86	chr20:19915769
Chr20_Group_88	chr20:21329950
Chr20_Group_91	chr20:22041577
Chr20_Group_95	chr20:22805061
Chr20_Group_10752610	chr20:10760210
Chr20_Group_99	chr20:23636980
Chr20_Group_100	chr20:23690021
Chr20_Group_101	chr20:23693687
Chr20_Group_102	chr20:23711882
Chr20_Group_105	chr20:23731412
Chr20_Group_106	chr20:23743040
Chr20_Group_107	chr20:23850130
Chr20_Group_108	chr20:23847254
Chr20_Group_111	chr20:24873553
Chr20_Group_112	chr20:24973769
Chr20_Group_113	chr20:25298087
Chr20_Group_114	chr20:25837491
Chr20_Group_115	chr20:30430214
Chr20_Group_116	chr20:30363824
Chr20_Group_117	chr20:30294682
Chr20_Group_118	chr20:30628982
Chr20_Group_119	chr20:30974025
Chr20_Group_120	chr20:30725648
Chr20_Group_122	chr20:31107399
Chr20_Group_123	chr20:31135619
Chr20_Group_124	chr20:31191015
Chr20_Group_125	chr20:31255829
Chr20_Group_126	chr20:31275581
Chr20_Group_127	chr20:31364475
Chr20_Group_128	chr20:31926490
Chr20_Group_129	chr20:31950845
Chr20_Group_130	chr20:32318917
Chr20_Group_131	chr20:33121368
Chr20_Group_132	chr20:32658769
Chr20_Group_133	chr20:33411871
Chr20_Group_134	chr20:33263381
Chr20_Group_136	chr20:33435161
Chr20_Group_138	chr20:33743708
Chr20_Group_139	chr20:33635193
Chr20_Group_140	chr20:33783377
Chr20_Group_13514434	chr20:13514434
Chr20_Group_142	chr20:33799280
Chr20_Group_143	chr20:33867697
Chr20_Group_144	chr20:33957908
Chr20_Group_146	chr20:34321000
Chr20_Group_1516180	chr20:1516543
Chr20_Group_150	chr20:34712310
Chr20_Group_151	chr20:35637398
Chr20_Group_152	chr20:35810114
Chr20_Group_153	chr20:36844622
Chr20_Group_154	chr20:36932295
Chr20_Group_155	chr20:37038113
Chr20_Group_156	chr20:37284070
Chr20_Group_158	chr20:37439887
Chr20_Group_160	chr20:38101545
Chr20_Group_161	chr20:38300807
Chr20_Group_162	chr20:38557661
Chr20_Group_163	chr20:38548977
Chr20_Group_164	chr20:38904203
Chr20_Group_165	chr20:39028436
Chr20_Group_166	chr20:39097684
Chr20_Group_167	chr20:39179822
Chr20_Group_168	chr20:39200756
Chr20_Group_170	chr20:39264619
Chr20_Group_171	chr20:39270847
Chr20_Group_172	chr20:39275603
Chr20_Group_173	chr20:39284775
Chr20_Group_174	chr20:39320751
Chr20_Group_175	chr20:39901531
Chr20_Group_176	chr20:39811711
Chr20_Group_19465907	chr20:19467862
Chr20_Group_180	chr20:42104939
Chr20_Group_181	chr20:42673848
Chr20_Group_182	chr20:42838550
Chr20_Group_183	chr20:42839620
Chr20_Group_184	chr20:42968116
Chr20_Group_10639988	chr20:10640210
Chr20_Group_187	chr20:43030866
Chr20_Group_188	chr20:43042364
Chr20_Group_189	chr20:43065028
Chr20_Group_23494846	chr20:23494846
Chr20_Group_191	chr20:43722017
Chr20_Group_192	chr20:43864809
Chr20_Group_193	chr20:44562474
Chr20_Group_194	chr20:44595649
Chr20_Group_195	chr20:44538484
Chr20_Group_196	chr20:44579217
Chr20_Group_197	chr20:44578670
Chr20_Group_199	chr20:44609595
Chr20_Group_200	chr20:44639905
Chr20_Group_201	chr20:44725685
Chr20_Group_202	chr20:44763284
Chr20_Group_203	chr20:45288453
Chr20_Group_204	chr20:45558831
Chr20_Group_205	chr20:45569796
Chr20_Group_206	chr20:45834387
Chr20_Group_207	chr20:45944659
Chr20_Group_208	chr20:46095649
Chr20_Group_209	chr20:47355009
Chr20_Group_210	chr20:47340117
Chr20_Group_211	chr20:47434002
Chr20_Group_212	chr20:47413079
Chr20_Group_213	chr20:47422577
Chr20_Group_214	chr20:47477706
Chr20_Group_215	chr20:47433515
Chr20_Group_216	chr20:47473038
Chr20_Group_217	chr20:47499121
Chr20_Group_218	chr20:47499170
Chr20_Group_219	chr20:47500404
Chr20_Group_220	chr20:47715913
Chr20_Group_221	chr20:47653027
Chr20_Group_222	chr20:47620511
Chr20_Group_226	chr20:47788775
Chr20_Group_227	chr20:47823441
Chr20_Group_228	chr20:47840772
Chr20_Group_229	chr20:47938626
Chr20_Group_230	chr20:48131036
Chr20_Group_231	chr20:48454671
Chr20_Group_232	chr20:48575315
Chr20_Group_233	chr20:48539279
Chr20_Group_234	chr20:48578911
Chr20_Group_238	chr20:48748548
Chr20_Group_239	chr20:48888249
Chr20_Group_240	chr20:48894756
Chr20_Group_242	chr20:48906967
Chr20_Group_243	chr20:48945911
Chr20_Group_244	chr20:48955424
Chr20_Group_245	chr20:49106149
Chr20_Group_246	chr20:49087012
Chr20_Group_247	chr20:49101590
Chr20_Group_248	chr20:49123043
Chr20_Group_249	chr20:49527922
Chr20_Group_22630516	chr20:22630516
Chr20_Group_251	chr20:50065648
Chr20_Group_252	chr20:50141202
Chr20_Group_253	chr20:50153344
Chr20_Group_254	chr20:50157837
Chr20_Group_10684159	chr20:10684159
Chr20_Group_256	chr20:50981945
Chr20_Group_257	chr20:51090429
Chr20_Group_258	chr20:51318351
Chr20_Group_259	chr20:52208356
Chr20_Group_260	chr20:52222106
Chr20_Group_261	chr20:52447303
Chr20_Group_263	chr20:52553882
Chr20_Group_264	chr20:52731402
Chr20_Group_265	chr20:52737204
Chr20_Group_266	chr20:52774427
Chr20_Group_267	chr20:52791518
Chr20_Group_268	chr20:52807221
Chr20_Group_269	chr20:52810377
Chr20_Group_270	chr20:52816717
Chr20_Group_272	chr20:54139486
Chr20_Group_273	chr20:54147462
Chr20_Group_274	chr20:54145086
Chr20_Group_275	chr20:54988877
Chr20_Group_276	chr20:55018260
Chr20_Group_278	chr20:55744431
Chr20_Group_279	chr20:55791890
Chr20_Group_280	chr20:55975551
Chr20_Group_281	chr20:55986801
Chr20_Group_282	chr20:55991021
Chr20_Group_283	chr20:56012988
Chr20_Group_284	chr20:55991695
Chr20_Group_285	chr20:56000642
Chr20_Group_286	chr20:56070505
Chr20_Group_287	chr20:56119516
Chr20_Group_17122593	chr20:17122593
Chr20_Group_290	chr20:57424868
Chr20_Group_291	chr20:57408426
Chr20_Group_292	chr20:57470558
Chr20_Group_293	chr20:57526120
Chr20_Group_294	chr20:57638679
Chr20_Group_295	chr20:57552461
Chr20_Group_296	chr20:57570568
Chr20_Group_297	chr20:57597451
Chr20_Group_298	chr20:57600886
Chr20_Group_300	chr20:57589766
Chr20_Group_301	chr20:57598808
Chr20_Group_302	chr20:57610824
Chr20_Group_303	chr20:57673950
Chr20_Group_304	chr20:57722373
Chr20_Group_306	chr20:57748369
Chr20_Group_307	chr20:57824309
Chr20_Group_308	chr20:57864914
Chr20_Group_1610551	chr20:1610551
Chr20_Group_312	chr20:58199218
Chr20_Group_313	chr20:58232736
Chr20_Group_316	chr20:58235648
Chr20_Group_318	chr20:59832791
Chr20_Group_319	chr20:59853938
Chr20_Group_320	chr20:60564086
Chr20_Group_322	chr20:60945247
Chr20_Group_325	chr20:61015611
Chr20_Group_326	chr20:61289743
Chr20_Group_328	chr20:61549202
Chr20_Group_329	chr20:61986949
Chr20_Group_330	chr20:62133177
Chr20_Group_311	chr20:58187375
Chr20_Group_332	chr20:62161998
Chr20_Group_333	chr20:62315928
Chr20_Group_334	chr20:62318220
Chr20_Group_14747471	chr20:14747471
Chr20_Group_336	chr20:62308158
Chr20_Group_337	chr20:62329099
Chr20_Group_338	chr20:62606617
Chr20_Group_339	chr20:62711459
Chr20_Group_340	chr20:62795405
Chr20_Group_342	chr20:8895776
Chr20_Group_21180259	chr20:21180259
Chr20_Group_1759590	chr20:1759590
Chr20_Group_12962718	chr20:12964399
Chr20_Group_15663771	chr20:15663771
Chr20_Group_21853100	chr20:21936206
Chr20_Group_331	chr20:62155111
Chr20_Group_10969030	chr20:10967514
Chr20_Group_17845921	chr20:17845921
Chr20_Group_335	chr20:62353259
Chr20_Group_23611359	chr20:23597329
Chr20_Group_10434530	chr20:10434530
Chr20_Group_33	chr20:4138629
Chr20_Group_289	chr20:57596492
Chr20_Group_255	chr20:50708054
Chr21_Group_1	chr21:16339172
Chr21_Group_3	chr21:16520832
Chr21_Group_5	chr21:16578159
Chr21_Group_39852551	chr21:39852716
Chr21_Group_8	chr21:16817938
Chr21_Group_10	chr21:17483133
Chr21_Group_11	chr21:19032949
Chr21_Group_12	chr21:20319474
Chr21_Group_14	chr21:22689344
Chr21_Group_15	chr21:25105211
Chr21_Group_16	chr21:28223092
Chr21_Group_17	chr21:28305212
Chr21_Group_18	chr21:28346546
Chr21_Group_19	chr21:28779956
Chr21_Group_21	chr21:30154239
Chr21_Group_22	chr21:30534189
Chr21_Group_23	chr21:30717737
Chr21_Group_24	chr21:31146169
Chr21_Group_25	chr21:32200202
Chr21_Group_26	chr21:32918294
Chr21_Group_27	chr21:33179371
Chr21_Group_28	chr21:34088470
Chr21_Group_29	chr21:34436340
Chr21_Group_30	chr21:34433051
Chr21_Group_31	chr21:34689253
Chr21_Group_32	chr21:34764288
Chr21_Group_44478497	chr21:44478497
Chr21_Group_34	chr21:35120329
Chr21_Group_35	chr21:35264397
Chr21_Group_37	chr21:35354523
Chr21_Group_40	chr21:35595637
Chr21_Group_45	chr21:35880072
Chr21_Group_46	chr21:36208167
Chr21_Group_48	chr21:36357861
Chr21_Group_43851828	chr21:43851828
Chr21_Group_54	chr21:36470865
Chr21_Group_56	chr21:36792624
Chr21_Group_36437051	chr21:36452440
Chr21_Group_60	chr21:37814114
Chr21_Group_65	chr21:37836973
Chr21_Group_67	chr21:38072356
Chr21_Group_44488033	chr21:44485484
Chr21_Group_39027272	chr21:39027272
Chr21_Group_73	chr21:39819830
Chr21_Group_17126994	chr21:17126994
Chr21_Group_83	chr21:40469520
Chr21_Group_85	chr21:40741846
Chr21_Group_87	chr21:42698907
Chr21_Group_89	chr21:42835494
Chr21_Group_91	chr21:43036969
Chr21_Group_93	chr21:43778895
Chr21_Group_96	chr21:43855067
Chr21_Group_97	chr21:44487404
Chr21_Group_35593827	chr21:35623033
Chr21_Group_100	chr21:44486964
Chr21_Group_101	chr21:44593140
Chr21_Group_102	chr21:44720890
Chr21_Group_103	chr21:44760603
Chr21_Group_104	chr21:44846426
Chr21_Group_105	chr21:45074749
Chr21_Group_106	chr21:45615300
Chr21_Group_107	chr21:45647421
Chr21_Group_108	chr21:45662979
Chr21_Group_109	chr21:45709153
Chr21_Group_110	chr21:45753117
Chr21_Group_111	chr21:46269526
Chr21_Group_112	chr21:46570896
Chr21_Group_113	chr21:47371947
Chr21_Group_114	chr21:47436327
Chr21_Group_115	chr21:47442334
Chr21_Group_116	chr21:47690068
Chr21_Group_117	chr21:47961386
Chr21_Group_118	chr21:47995443
Chr21_Group_119	chr21:48042766
Chr21_Group_43089017	chr21:43089017
Chr21_Group_40465534	chr21:40465463
Chr21_Group_36712588	chr21:36725415
Chr21_Group_40350744	chr21:40350744
Chr21_Group_37834258	chr21:37834258
Chr21_Group_40465178	chr21:40465178
Chr21_Group_35821680	chr21:35821680
Chr21_Group_42583738	chr21:42583738
Chr21_Group_40311493	chr21:40303528
Chr21_Group_33	chr21:34776695
Chr21_Group_16364756	chr21:16364756
Chr21_Group_121	chr21:16785691
Chr21_Group_42746081	chr21:42746081
Chr21_Group_37833307	chr21:37833529
Chr21_Group_40604429	chr21:40604429
Chr21_Group_37848334	chr21:37848334
Chr21_Group_36368659	chr21:36368659
Chr21_Group_16804367	chr21:16810709
Chr21_Group_43836186	chr21:43836288
Chr21_Group_35690786	chr21:35702665
Chr21_Group_37804846	chr21:37804846
Chr21_Group_52	chr21:36400441
Chr21_Group_39838035	chr21:39838035
Chr21_Group_36111201	chr21:36111201
Chr21_Group_59	chr21:37460271
Chr21_Group_39870310	chr21:39870310
Chr21_Group_36970350	chr21:36970350
Chr21_Group_36283811	chr21:36283811
Chr21_Group_71	chr21:38670335
Chr21_Group_42901421	chr21:42901421
Chr21_Group_38491095	chr21:38491095
Chr21_Group_16574455	chr21:16574455
Chr21_Group_36398586	chr21:36394107
Chr22_Group_1	chr22:17582361
Chr22_Group_2	chr22:17586583
Chr22_Group_3	chr22:17595915
Chr22_Group_21916166	chr22:21950272
Chr22_Group_10	chr22:19158228
Chr22_Group_13	chr22:19712094
Chr22_Group_14	chr22:19749525
Chr22_Group_15	chr22:19755417
Chr22_Group_16	chr22:19872645
Chr22_Group_17	chr22:19951271
Chr22_Group_18915347	chr22:18915347
Chr22_Group_20	chr22:20011159
Chr22_Group_21	chr22:21279432
Chr22_Group_24	chr22:21332441
Chr22_Group_26	chr22:21917190
Chr22_Group_29	chr22:23372864
Chr22_Group_31	chr22:24578040
Chr22_Group_33	chr22:24252113
Chr22_Group_30199338	chr22:30324689
Chr22_Group_43	chr22:24990213
Chr22_Group_46	chr22:25310129
Chr22_Group_50	chr22:26283714
Chr22_Group_52	chr22:28181399
Chr22_Group_54	chr22:28195386
Chr22_Group_24622648	chr22:24622237
Chr22_Group_57	chr22:28934313
Chr22_Group_58	chr22:28633571
Chr22_Group_30757436	chr22:30757436
Chr22_Group_19	chr22:19978073
Chr22_Group_66	chr22:29121087
Chr22_Group_75	chr22:29551872
Chr22_Group_77	chr22:29633935
Chr22_Group_18966617	chr22:18966067
Chr22_Group_90	chr22:30681257
Chr22_Group_92	chr22:30892255
Chr22_Group_95	chr22:31529043
Chr22_Group_171	chr22:40652873
Chr22_Group_25002081	chr22:25000592
Chr22_Group_100	chr22:32213984
Chr22_Group_102	chr22:32265903
Chr22_Group_103	chr22:32438521
Chr22_Group_106	chr22:32897817
Chr22_Group_107	chr22:32867528
Chr22_Group_108	chr22:32880585
Chr22_Group_109	chr22:32902403
Chr22_Group_110	chr22:33105817
Chr22_Group_111	chr22:33147526
Chr22_Group_112	chr22:33160397
Chr22_Group_113	chr22:33166444
Chr22_Group_114	chr22:33170101
Chr22_Group_115	chr22:33172005
Chr22_Group_116	chr22:33242162
Chr22_Group_117	chr22:34333493
Chr22_Group_118	chr22:34503059
Chr22_Group_119	chr22:35135106
Chr22_Group_120	chr22:35685986
Chr22_Group_122	chr22:35729721
Chr22_Group_123	chr22:35934614
Chr22_Group_124	chr22:36616445
Chr22_Group_125	chr22:36661330
Chr22_Group_126	chr22:36758547
Chr22_Group_127	chr22:37258503
Chr22_Group_128	chr22:37258986
Chr22_Group_129	chr22:37308966
Chr22_Group_130	chr22:37463450
Chr22_Group_131	chr22:37467331
Chr22_Group_132	chr22:37457946
Chr22_Group_18439958	chr22:18445122
Chr22_Group_135	chr22:37490592
Chr22_Group_136	chr22:37505552
Chr22_Group_137	chr22:37507593
Chr22_Group_138	chr22:37510072
Chr22_Group_139	chr22:37519864
Chr22_Group_140	chr22:37534034
Chr22_Group_141	chr22:37586401
Chr22_Group_142	chr22:37728254
Chr22_Group_143	chr22:37913168
Chr22_Group_145	chr22:37909539
Chr22_Group_146	chr22:38328597
Chr22_Group_147	chr22:38165830
Chr22_Group_148	chr22:38476276
Chr22_Group_149	chr22:38477930
Chr22_Group_150	chr22:38569854
Chr22_Group_29154455	chr22:29154455
Chr22_Group_152	chr22:38628306
Chr22_Group_153	chr22:39015195
Chr22_Group_155	chr22:39245618
Chr22_Group_156	chr22:39332623
Chr22_Group_157	chr22:39519196
Chr22_Group_158	chr22:39539282
Chr22_Group_159	chr22:39660301
Chr22_Group_160	chr22:39696298
Chr22_Group_162	chr22:39694225
Chr22_Group_163	chr22:39739638
Chr22_Group_164	chr22:39747725
Chr22_Group_165	chr22:39847378
Chr22_Group_166	chr22:39930197
Chr22_Group_167	chr22:39942234
Chr22_Group_168	chr22:39969796
Chr22_Group_169	chr22:39993700
Chr22_Group_170	chr22:39990775
Chr22_Group_29450923	chr22:29450574
Chr22_Group_172	chr22:40687757
Chr22_Group_173	chr22:40539525
Chr22_Group_174	chr22:40659403
Chr22_Group_176	chr22:40778231
Chr22_Group_177	chr22:40948091
Chr22_Group_178	chr22:40943032
Chr22_Group_179	chr22:41027819
Chr22_Group_180	chr22:41264541
Chr22_Group_181	chr22:41404939
Chr22_Group_182	chr22:41642894
Chr22_Group_183	chr22:41588353
Chr22_Group_184	chr22:41793423
Chr22_Group_26159289	chr22:26159289
Chr22_Group_186	chr22:42201517
Chr22_Group_187	chr22:42038786
Chr22_Group_188	chr22:42259524
Chr22_Group_189	chr22:42340844
Chr22_Group_190	chr22:42538708
Chr22_Group_192	chr22:42392811
Chr22_Group_193	chr22:42526694
Chr22_Group_194	chr22:42537127
Chr22_Group_196	chr22:43096996
Chr22_Group_197	chr22:43109839
Chr22_Group_198	chr22:43128298
Chr22_Group_200	chr22:43392022
Chr22_Group_202	chr22:43495739
Chr22_Group_203	chr22:43500212
Chr22_Group_204	chr22:43559451
Chr22_Group_205	chr22:44351363
Chr22_Group_206	chr22:44354111
Chr22_Group_207	chr22:44391686
Chr22_Group_208	chr22:44523907
Chr22_Group_209	chr22:44922275
Chr22_Group_31668250	chr22:31833431
Chr22_Group_211	chr22:45251811
Chr22_Group_212	chr22:45961904
Chr22_Group_213	chr22:45996077
Chr22_Group_214	chr22:46283297
Chr22_Group_215	chr22:46309893
Chr22_Group_216	chr22:46363739
Chr22_Group_217	chr22:46370272
Chr22_Group_218	chr22:46421842
Chr22_Group_219	chr22:46459132
Chr22_Group_220	chr22:46627603
Chr22_Group_221	chr22:48929569
Chr22_Group_222	chr22:49678179
Chr22_Group_223	chr22:50013402
Chr22_Group_225	chr22:50199589
Chr22_Group_227	chr22:50435480
Chr22_Group_228	chr22:50583245
Chr22_Group_229	chr22:50628996
Chr22_Group_230	chr22:50628937
Chr22_Group_231	chr22:50967952
Chr22_Group_232	chr22:50968950
Chr22_Group_233	chr22:50991033
Chr22_Group_234	chr22:51063477
Chr22_Group_235	chr22:51103823
Chr22_Group_236	chr22:51111657
Chr22_Group_237	chr22:51150473
Chr22_Group_17618164	chr22:17618164
Chr22_Group_29793525	chr22:29792379
Chr22_Group_30378703	chr22:30378703
Chr22_Group_270	chr22:42523528
Chr22_Group_24996630	chr22:24996630
Chr22_Group_29633826	chr22:29633530
Chr22_Group_29468456	chr22:29468456
Chr22_Group_30486826	chr22:30465036
Chr22_Group_28206912	chr22:28206912
Chr22_Group_24368963	chr22:24368963
Chr22_Group_56	chr22:28314612
Chr22_Group_28928858	chr22:29167538
Chr22_Group_29621477	chr22:29621477
Chr22_Group_29977318	chr22:30150362
Chr22_Group_29203314	chr22:29246488
Chr22_Group_18169212	chr22:18167404
Chr22_Group_24582041	chr22:24582041
Chr22_Group_24662171	chr22:24660514
Chr22_Group_24250795	chr22:24308771
Chr22_Group_31013296	chr22:31013296
Chr22_Group_22131125	chr22:22131125
Chr22_Group_29695929	chr22:29695929
Chr22_Group_28181436	chr22:28181436
Chr22_Group_28022728	chr22:28022728
Chr22_Group_30581722	chr22:30581722
Chr22_Group_29100711	chr22:29115505
Chr22_Group_29103598	chr22:28932373
Chr22_Group_24170996	chr22:24170996
Chr22_Group_28552698	chr22:28645906
Chr2_Group_68	chr2:20878820
Chr2_Group_1	chr2:239416
Chr2_Group_2	chr2:172956
Chr2_Group_6	chr2:631014
Chr2_Group_134434824	chr2:134434824
Chr2_Group_10	chr2:3174183
Chr2_Group_11	chr2:3648186
Chr2_Group_12	chr2:4034446
Chr2_Group_162910223	chr2:162910223
Chr2_Group_17	chr2:5664008
Chr2_Group_18	chr2:6155557
Chr2_Group_20	chr2:6443216
Chr2_Group_21	chr2:6461421
Chr2_Group_113838102	chr2:113851968
Chr2_Group_23	chr2:8466895
Chr2_Group_25	chr2:8450521
Chr2_Group_26	chr2:8443859
Chr2_Group_27	chr2:8445160
Chr2_Group_28	chr2:8452497
Chr2_Group_29	chr2:8660778
Chr2_Group_30	chr2:8751568
Chr2_Group_31	chr2:9805923
Chr2_Group_32	chr2:9972442
Chr2_Group_34	chr2:10117868
Chr2_Group_35	chr2:10200316
Chr2_Group_38	chr2:10961474
Chr2_Group_40	chr2:11270150
Chr2_Group_348	chr2:65214492
Chr2_Group_157493292	chr2:157491858
Chr2_Group_349	chr2:65272362
Chr2_Group_48	chr2:15729820
Chr2_Group_51	chr2:16462145
Chr2_Group_163778613	chr2:163778613
Chr2_Group_56	chr2:18309132
Chr2_Group_57	chr2:19430105
Chr2_Group_62	chr2:19942473
Chr2_Group_64	chr2:19995470
Chr2_Group_134529091	chr2:134529091
Chr2_Group_146878532	chr2:146878532
Chr2_Group_69	chr2:20903015
Chr2_Group_71	chr2:21205457
Chr2_Group_22450249	chr2:22450249
Chr2_Group_74	chr2:21241505
Chr2_Group_76	chr2:21259612
Chr2_Group_1855567	chr2:1855567
Chr2_Group_104036433	chr2:104036433
Chr2_Group_102932562	chr2:102955320
Chr2_Group_85	chr2:24092773
Chr2_Group_86	chr2:24477054
Chr2_Group_111609943	chr2:111609943
Chr2_Group_109611097	chr2:109611097
Chr2_Group_15	chr2:5232178
Chr2_Group_93	chr2:25139596
Chr2_Group_94	chr2:25301755
Chr2_Group_357	chr2:66200648
Chr2_Group_97	chr2:25373298
Chr2_Group_98	chr2:25463483
Chr2_Group_100	chr2:25613146
Chr2_Group_101	chr2:25629438
Chr2_Group_102	chr2:25946470
Chr2_Group_103	chr2:26136904
Chr2_Group_104	chr2:26357521
Chr2_Group_105	chr2:26928811
Chr2_Group_106	chr2:26914364
Chr2_Group_108	chr2:27152874
Chr2_Group_109	chr2:27424636
Chr2_Group_110	chr2:27486595
Chr2_Group_208263279	chr2:208259398
Chr2_Group_112	chr2:27715955
Chr2_Group_113	chr2:27675280
Chr2_Group_114	chr2:27635463
Chr2_Group_115	chr2:27737213
Chr2_Group_116	chr2:27753878
Chr2_Group_117	chr2:27855924
Chr2_Group_118	chr2:27826838
Chr2_Group_168159351	chr2:168159351
Chr2_Group_121	chr2:28329313
Chr2_Group_122	chr2:28625767
Chr2_Group_123	chr2:28685961
Chr2_Group_124	chr2:28688520
Chr2_Group_125	chr2:29120159
Chr2_Group_126	chr2:30429735
Chr2_Group_127	chr2:30447310
Chr2_Group_128	chr2:30479857
Chr2_Group_10135681	chr2:10135681
Chr2_Group_130	chr2:31406847
Chr2_Group_131	chr2:31471111
Chr2_Group_132	chr2:31470440
Chr2_Group_133	chr2:31482300
Chr2_Group_134	chr2:31805826
Chr2_Group_135	chr2:31810974
Chr2_Group_136	chr2:32172152
Chr2_Group_137	chr2:32181424
Chr2_Group_140	chr2:33471192
Chr2_Group_141	chr2:32849207
Chr2_Group_142	chr2:32563426
Chr2_Group_143	chr2:32826002
Chr2_Group_113965200	chr2:113969071
Chr2_Group_145	chr2:33059096
Chr2_Group_146	chr2:33121504
Chr2_Group_147	chr2:33348679
Chr2_Group_148	chr2:33360881
Chr2_Group_127950997	chr2:127950997
Chr2_Group_150	chr2:33701890
Chr2_Group_223529112	chr2:223529112
Chr2_Group_154	chr2:34068392
Chr2_Group_157	chr2:35441439
Chr2_Group_158	chr2:36683428
Chr2_Group_159	chr2:36673664
Chr2_Group_161	chr2:36768875
Chr2_Group_162	chr2:37068428
Chr2_Group_163	chr2:37158384
Chr2_Group_164	chr2:37188140
Chr2_Group_149412005	chr2:149412005
Chr2_Group_166	chr2:37538460
Chr2_Group_167	chr2:37592628
Chr2_Group_168	chr2:37603801
Chr2_Group_157487273	chr2:157505654
Chr2_Group_170	chr2:38047288
Chr2_Group_171	chr2:38276549
Chr2_Group_173	chr2:38750287
Chr2_Group_175	chr2:40353277
Chr2_Group_176	chr2:40354688
Chr2_Group_224561329	chr2:224561329
Chr2_Group_178	chr2:40630678
Chr2_Group_179	chr2:40754485
Chr2_Group_181	chr2:42080624
Chr2_Group_121088182	chr2:121088956
Chr2_Group_183	chr2:42268927
Chr2_Group_184	chr2:42261341
Chr2_Group_185	chr2:43255645
Chr2_Group_155443386	chr2:155495619
Chr2_Group_187	chr2:43015719
Chr2_Group_188	chr2:43141485
Chr2_Group_189	chr2:43167878
Chr2_Group_191	chr2:43194596
Chr2_Group_101319712	chr2:101319167
Chr2_Group_194	chr2:43359563
Chr2_Group_195	chr2:43382741
Chr2_Group_196	chr2:43630652
Chr2_Group_182319301	chr2:182318283
Chr2_Group_198	chr2:43553949
Chr2_Group_199	chr2:43540125
Chr2_Group_166897864	chr2:166920216
Chr2_Group_201	chr2:43561780
Chr2_Group_106457291	chr2:106457291
Chr2_Group_161306828	chr2:161255977
Chr2_Group_206	chr2:44042904
Chr2_Group_207	chr2:44072200
Chr2_Group_208	chr2:44073503
Chr2_Group_209	chr2:44241155
Chr2_Group_135837906	chr2:136272944
Chr2_Group_211	chr2:44628529
Chr2_Group_212	chr2:44771202
Chr2_Group_214	chr2:45152748
Chr2_Group_215	chr2:45188353
Chr2_Group_216	chr2:45192000
Chr2_Group_217	chr2:45646824
Chr2_Group_219	chr2:45896437
Chr2_Group_220	chr2:46293826
Chr2_Group_222	chr2:46315516
Chr2_Group_223	chr2:46355848
Chr2_Group_224	chr2:46349271
Chr2_Group_144255201	chr2:144255201
Chr2_Group_226	chr2:46352326
Chr2_Group_22479075	chr2:22457215
Chr2_Group_228	chr2:46363336
Chr2_Group_127889637	chr2:127889637
Chr2_Group_166490343	chr2:166490343
Chr2_Group_232	chr2:46484205
Chr2_Group_233	chr2:46509657
Chr2_Group_234	chr2:46537276
Chr2_Group_102957291	chr2:102957291
Chr2_Group_237	chr2:46921285
Chr2_Group_193802478	chr2:193802478
Chr2_Group_239	chr2:48018081
Chr2_Group_240	chr2:48314623
Chr2_Group_241	chr2:48414735
Chr2_Group_242	chr2:48691211
Chr2_Group_243	chr2:48955683
Chr2_Group_244	chr2:48978159
Chr2_Group_218284278	chr2:218284278
Chr2_Group_247	chr2:49201328
Chr2_Group_248	chr2:49201612
Chr2_Group_249	chr2:50047483
Chr2_Group_250	chr2:51080481
Chr2_Group_251	chr2:51195601
Chr2_Group_253	chr2:52121667
Chr2_Group_254	chr2:51873599
Chr2_Group_179689856	chr2:179689856
Chr2_Group_258	chr2:53397048
Chr2_Group_259	chr2:53782559
Chr2_Group_261	chr2:54161363
Chr2_Group_262	chr2:54354927
Chr2_Group_254215	chr2:270485
Chr2_Group_265	chr2:54475866
Chr2_Group_266	chr2:54672132
Chr2_Group_267	chr2:54970943
Chr2_Group_268	chr2:55003822
Chr2_Group_269	chr2:55196956
Chr2_Group_270	chr2:55505456
Chr2_Group_100807725	chr2:100830229
Chr2_Group_272	chr2:55843413
Chr2_Group_273	chr2:55845109
Chr2_Group_275	chr2:56061761
Chr2_Group_276	chr2:56093204
Chr2_Group_277	chr2:56092275
Chr2_Group_279	chr2:56108333
Chr2_Group_21123352	chr2:21180448
Chr2_Group_281	chr2:56120853
Chr2_Group_282	chr2:56135099
Chr2_Group_141545755	chr2:141545755
Chr2_Group_285	chr2:57202037
Chr2_Group_287	chr2:57405979
Chr2_Group_288	chr2:57347530
Chr2_Group_289	chr2:57826028
Chr2_Group_290	chr2:57928530
Chr2_Group_291	chr2:57941287
Chr2_Group_292	chr2:58182423
Chr2_Group_293	chr2:58071593
Chr2_Group_294	chr2:57987593
Chr2_Group_295	chr2:58311943
Chr2_Group_297	chr2:58296547
Chr2_Group_298	chr2:58383820
Chr2_Group_300	chr2:58688907
